UCL_CODE_2021,name,area_sqkm,population,lat,lon,state,chargers_5km,chargers_10km,chargers_20km
121009,Boggabri (L),5.8304,885,-30.709703834744115,150.04507636864594,Unspecified,0,0,0
121010,Boomerang Beach - Blueys Beach (L),4.7593,668,-32.34578954991646,152.53186280475785,Unspecified,0,0,0
121011,Bowraville (L),2.2294,941,-30.65025645399619,152.85384929366407,Unspecified,0,2,3
121012,Brandy Hill (L),6.3434,852,-32.68955963708225,151.6968501305581,Unspecified,0,1,3
121013,Brewarrina (L),4.8359,743,-29.963133139620112,146.86501558589387,Unspecified,1,1,1
121014,Broadwater (L),0.9863,524,-29.01554036417578,153.42965964927453,Unspecified,0,0,0
121015,Brooklyn (L),2.158,737,-33.54641076758423,151.21643217169873,Unspecified,0,0,7
121016,Burringbar (L),1.7387,555,-28.439402256013526,153.47019573489604,Unspecified,0,0,2
121017,Catherine Hill Bay (L),0.9832,820,-33.162027525997864,151.6264185908119,Unspecified,0,1,2
121018,Clarence Town (L),2.4892,878,-32.58734766167192,151.78129319391988,Unspecified,0,0,2
121019,Clifton Grove (L),13.5933,701,-33.24398106012016,149.15111039795556,Unspecified,0,3,4
121020,Clunes (L) (NSW),1.003,564,-28.72912471637569,153.4065838529163,Unspecified,0,0,4
121021,Coleambally (L),3.2856,566,-34.800268855927634,145.88953734821908,Unspecified,0,0,0
121022,Coolah (L),2.8295,722,-31.824078340069843,149.7147533706403,Unspecified,0,0,0
121023,Coomba Park (L),3.0272,587,-32.23959310191454,152.4666068244199,Unspecified,0,0,1
121024,Coutts Crossing (L),5.0358,553,-29.82227645391643,152.89572072955806,Unspecified,0,0,1
121025,Cowan (L),0.3968,599,-33.58932786316972,151.17032691521516,Unspecified,1,1,16
121026,Crescent Head (L),1.1606,978,-31.19090287498,152.97545724778846,Unspecified,0,0,0
121027,Cudgen (L),0.3819,616,-28.2620989915941,153.55851555677827,Unspecified,0,1,3
121028,Cunjurong Point - Manyana (L),2.7216,785,-35.26071594936355,150.5097072860842,Unspecified,0,0,0
121029,Curlewis (L),4.9294,605,-31.11649748809349,150.26101987002585,Unspecified,0,0,1
121030,Darlington Point (L),4.3483,868,-34.56533623122412,146.00467989400198,Unspecified,0,0,0
121031,Diamond Beach (L),4.4692,1012,-32.04029220645237,152.53356170548335,Unspecified,0,0,3
121032,Dunedoo (L),4.2189,725,-32.018273019881875,149.3913247112013,Unspecified,0,0,0
